image,category,edge_density
ucmerced_regular_airplane_0001.png,airplane,6.276275634765625
ucmerced_regular_airplane_0002.png,airplane,4.882954915364583
ucmerced_regular_airplane_0003.png,airplane,4.882954915364583
ucmerced_regular_airplane_0004.png,airplane,6.7622731526692705
ucmerced_regular_airplane_0005.png,airplane,6.466634114583333
ucmerced_regular_airplane_0006.png,airplane,5.9847564697265625
ucmerced_regular_airplane_0007.png,airplane,7.207122802734375
ucmerced_regular_airplane_0008.png,airplane,5.944814046223959
ucmerced_regular_airplane_0009.png,airplane,6.999918619791667
ucmerced_regular_airplane_0010.png,airplane,6.8944854736328125
ucmerced_regular_airplane_0011.png,airplane,7.7146148681640625
ucmerced_regular_airplane_0012.png,airplane,7.824315388997396
ucmerced_regular_airplane_0013.png,airplane,5.182566324869791
ucmerced_regular_airplane_0014.png,airplane,5.8783416748046875
ucmerced_regular_airplane_0015.png,airplane,6.000732421875
ucmerced_regular_airplane_0016.png,airplane,5.3695831298828125
ucmerced_regular_airplane_0017.png,airplane,7.5771636962890625
ucmerced_regular_airplane_0018.png,airplane,8.796218872070312
ucmerced_regular_airplane_0019.png,airplane,7.341283162434896
ucmerced_regular_airplane_0020.png,airplane,7.333607991536459
ucmerced_regular_airplane_0021.png,airplane,9.231791178385418
ucmerced_regular_airplane_0022.png,airplane,9.79430643717448
ucmerced_regular_airplane_0023.png,airplane,6.5181630452473955
ucmerced_regular_airplane_0024.png,airplane,9.8758544921875
ucmerced_regular_airplane_0025.png,airplane,7.029820760091146
ucmerced_regular_airplane_0026.png,airplane,6.799036661783854
ucmerced_regular_airplane_0027.png,airplane,10.839742024739584
ucmerced_regular_airplane_0028.png,airplane,10.00830078125
ucmerced_regular_airplane_0029.png,airplane,9.723063151041666
ucmerced_regular_airplane_0030.png,airplane,9.54741923014323
ucmerced_regular_airplane_0031.png,airplane,10.475138346354168
ucmerced_regular_airplane_0032.png,airplane,6.517206827799479
ucmerced_regular_airplane_0033.png,airplane,8.624771118164062
ucmerced_regular_airplane_0034.png,airplane,7.639312744140625
ucmerced_regular_airplane_0035.png,airplane,8.881973266601562
ucmerced_regular_airplane_0036.png,airplane,6.8143870035807295
ucmerced_regular_airplane_0037.png,airplane,7.0819753011067705
ucmerced_regular_airplane_0038.png,airplane,6.431040445963541
ucmerced_regular_airplane_0039.png,airplane,7.668446858723958
ucmerced_regular_airplane_0040.png,airplane,8.803375244140625
ucmerced_regular_airplane_0041.png,airplane,8.707875569661457
ucmerced_regular_airplane_0042.png,airplane,10.582138061523438
ucmerced_regular_airplane_0043.png,airplane,8.946085611979166
ucmerced_regular_airplane_0044.png,airplane,9.014475504557293
