image,class,edge_density
agricultural_agricultural00.png,agricultural_agricultural,0.3221893310546875
agricultural_agricultural01.png,agricultural_agricultural,0.3216705322265625
agricultural_agricultural02.png,agricultural_agricultural,0.341094970703125
agricultural_agricultural03.png,agricultural_agricultural,0.3158416748046875
agricultural_agricultural04.png,agricultural_agricultural,0.192779541015625
agricultural_agricultural05.png,agricultural_agricultural,0.353851318359375
agricultural_agricultural06.png,agricultural_agricultural,0.34124755859375
agricultural_agricultural07.png,agricultural_agricultural,0.3700408935546875
agricultural_agricultural08.png,agricultural_agricultural,0.3979034423828125
agricultural_agricultural09.png,agricultural_agricultural,0.395599365234375
agricultural_agricultural10.png,agricultural_agricultural,0.19476318359375
agricultural_agricultural11.png,agricultural_agricultural,0.023712158203125
agricultural_agricultural12.png,agricultural_agricultural,0.187469482421875
agricultural_agricultural13.png,agricultural_agricultural,0.350433349609375
agricultural_agricultural14.png,agricultural_agricultural,0.3934478759765625
agricultural_agricultural15.png,agricultural_agricultural,0.3591461181640625
agricultural_agricultural16.png,agricultural_agricultural,0.248016357421875
agricultural_agricultural17.png,agricultural_agricultural,0.296417236328125
agricultural_agricultural18.png,agricultural_agricultural,0.3438720703125
agricultural_agricultural19.png,agricultural_agricultural,0.130828857421875
agricultural_agricultural20.png,agricultural_agricultural,0.3738555908203125
agricultural_agricultural21.png,agricultural_agricultural,0.3339385986328125
agricultural_agricultural22.png,agricultural_agricultural,0.31640625
agricultural_agricultural23.png,agricultural_agricultural,0.356292724609375
agricultural_agricultural24.png,agricultural_agricultural,0.3518218994140625
agricultural_agricultural25.png,agricultural_agricultural,0.33203125
agricultural_agricultural26.png,agricultural_agricultural,0.150360107421875
agricultural_agricultural27.png,agricultural_agricultural,0.255645751953125
agricultural_agricultural28.png,agricultural_agricultural,0.2447357177734375
agricultural_agricultural29.png,agricultural_agricultural,0.30157470703125
agricultural_agricultural30.png,agricultural_agricultural,0.1418609619140625
agricultural_agricultural31.png,agricultural_agricultural,0.2006683349609375
agricultural_agricultural32.png,agricultural_agricultural,0.0348052978515625
agricultural_agricultural33.png,agricultural_agricultural,0.0228271484375
agricultural_agricultural34.png,agricultural_agricultural,0.2685546875
